Link,Section,Career Area,Opportunity Title,Organisation,Deadline,Description
https://www.eyfoundation.com/en_uk/apply/i-m-a-young-person/smart-futures--how-to-apply,Work Experience,Finance & Business,Business & Finance – Birmingham,EY Foundation,Open,Explore careers in business and finance.
https://www.brightnetwork.co.uk/search/?content_types=jobs&job_types=Work+Experience&location=london,Work Experience,"Law, Government & Public Service",Pathways to Practice First Year Insight Scheme,Fieldfisher,06/11/2026,Insight opportunity exploring legal careers. Check Year 12 eligibility before applying.
https://www.brightnetwork.co.uk/search/?content_types=jobs&job_types=Work+Experience&location=london,Work Experience,"Law, Government & Public Service",Bright Futures Programme 2027,Clyde & Co,19/11/2026,Legal careers programme in London. Check Year 12 eligibility.
https://www.brightnetwork.co.uk/search/?content_types=jobs&job_types=Work+Experience&location=london,Work Experience,"Law, Government & Public Service",Summer Work Experience Schemes 2027,Slaughter and May,04/12/2026,Legal work-experience schemes. Check Year 12 eligibility.
https://www.brightnetwork.co.uk/search/?content_types=jobs&job_types=Work+Experience&location=london,Work Experience,"Law, Government & Public Service",ACCESS Development Programme 2027,Clifford Chance,22/02/2027,Development programme for eligible Year 12 students.
https://www.brightnetwork.co.uk/search/?content_types=jobs&job_types=Work+Experience&location=london,Work Experience,"Law, Government & Public Service",Virtual Learning Programme,White & Case,Rolling,Virtual legal learning experience.
https://www.lawcareers.net/Explore/Features/23092025-Year-1213-and-first-year-opportunities-open-days-and-insight-schemes,Work Experience,"Law, Government & Public Service",CMS Connect,CMS,Check website,"Work-experience programme for school and college students, including practical skills and mentoring."
https://www.lawcareers.net/Explore/Features/23092025-Year-1213-and-first-year-opportunities-open-days-and-insight-schemes,Work Experience,"Law, Government & Public Service",Limitless,Taylor Wessing,Check website,"Year 12 legal programme with workshops, networking and work shadowing. Eligibility criteria apply."
https://www.lawcareers.net/Explore/Features/23092025-Year-1213-and-first-year-opportunities-open-days-and-insight-schemes,Insight Days,"Law, Government & Public Service",Year 12/13 Insight Days & Open Evenings,TLT,Check website,Law insight events and open evenings for Year 12 and Year 13 students.
https://finder.futuresforall.org/opportunity-search?minAge=16&maxAge=19,Work Experience,Multiple Career Areas,Futures For All Opportunity Finder,Futures For All,Varies,"Searchable database of in-person, remote and hybrid work-experience opportunities."
https://www.ashurstperkinscoie.com/en/careers/students-and-graduates/uk-access-law/,Work Experience,"Law, Government & Public Service",ACCESS Commercial Law,Ashurst Perkins Coie,08/10/2026 12:00,"Commercial law access programme for eligible Year 12/13 students, including virtual panel discussions, 1:1 mentoring and ongoing support."
https://pathways.birmingham.ac.uk/users/apply.php?uob_pathway=BELONG,University Pathways,University Access & Widening Participation,BELONG,University of Birmingham,Check website,"University of Birmingham access/pathway programme. Check the programme page for current eligibility, dates and application deadlines."
https://forms.cloud.microsoft/e/HXYTNVCbYa,Work Experience,"Construction, Property & Skilled Trades",Morgan Sindall Construction Work Experience Week 2027 — Chelmsford,Morgan Sindall Construction,Check application form,Five-day work experience programme in Chelmsford introducing students to construction and the range of roles in the industry. Applications are via the Microsoft Form.
https://forms.cloud.microsoft/e/gNbQ93BiGn,Work Experience,"Construction, Property & Skilled Trades",Morgan Sindall Construction Work Experience Week 2027 — Norwich,Morgan Sindall Construction,Check application form,Five-day work experience programme in Norwich introducing students to construction and the range of roles in the industry. Applications are via the Microsoft Form.
https://forms.cloud.microsoft/e/6kTVshu8yX,Work Experience,"Construction, Property & Skilled Trades",Morgan Sindall Construction Work Experience Week 2027 — Cambridge,Morgan Sindall Construction,Check application form,Five-day work experience programme in Cambridge introducing students to construction and the range of roles in the industry. Applications are via the Microsoft Form.
https://forms.cloud.microsoft/e/3zQXhneXQE,Work Experience,"Construction, Property & Skilled Trades",Morgan Sindall Construction Work Experience Week 2027 — Ipswich,Morgan Sindall Construction,Check application form,Five-day work experience programme in Ipswich introducing students to construction and the range of roles in the industry. Applications are via the Microsoft Form.
https://www.developingexperts.com/courses,Work Experience,Multiple Career Areas,Developing Experts — Virtual Work Experience,Developing Experts,Open / ongoing,"Free, self-paced virtual work experience courses covering areas including construction and animal care. Check the individual course for age/eligibility before applying."
